date,course,race_time,race_name,distance,going,race_class,race_url,source
2026-03-03,LEOPARDSTOWN                                                    (IRE),,LEOPARDSTOWN                                                    (IRE),,,,,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,,,,,,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,,,,,,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),Meeting details,Going:,2m5f,,,https://www.racingpost.com/results/187/leopardstown/2026-03-03/winning-times,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),Meeting details,Going:,,,,https://www.racingpost.com/results/187/leopardstown/2026-03-03/winning-times,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),Meeting details,Going:,,,,https://www.racingpost.com/results/187/leopardstown/2026-03-03/winning-times,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,Going:,,,,,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,Going:,,,,,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,Going:,,,,,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,Total Non-Runners:,,,,,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,Dividends and spread make-ups,,,,,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,,,,,,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,,,,,https://www.racingpost.com/results/187/leopardstown/2026-03-03/winning-times,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,,,,,https://www.racingpost.com/results/187/leopardstown/2026-03-03/winning-times,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,,,,,,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),1:55,"Golf, Padel, Range At Leopardstown Launching Spring 2026 Maiden Hurdle",2m5f,,,https://www.racingpost.com/results/187/leopardstown/2026-03-03/914613,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,"Golf, Padel, Range At Leopardstown Launching Spring 2026 Maiden Hurdle",2m5f,,,https://www.racingpost.com/results/187/leopardstown/2026-03-03/914613,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,"Golf, Padel, Range At Leopardstown Launching Spring 2026 Maiden Hurdle",2m5f,,,https://www.racingpost.com/results/187/leopardstown/2026-03-03/914613,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,"Golf, Padel, Range At Leopardstown Launching Spring 2026 Maiden Hurdle",,,,https://www.racingpost.com/results/187/leopardstown/2026-03-03/914613,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,,2m5f,,,,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,,,,,,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,"3.
                                                Generous Risk6/4",,,,https://www.racingpost.com/profile/horse/58956220/generous-risk,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,"3.
                                                Generous Risk6/4",,,,https://www.racingpost.com/profile/horse/58956220/generous-risk,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,,,,,,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,,,,,,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,-,,,,https://www.racingpost.com/profile/horse/745906/no-risk-at-all,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,-,,,,https://www.racingpost.com/profile/horse/745906/no-risk-at-all,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,Breeder:,,,,,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,Owner:,,,,https://www.racingpost.com/profile/owner/113523/gigginstown-house-stud,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,"4.
                                                Haveanothertry16/1",,,,https://www.racingpost.com/profile/horse/8561246/haveanothertry,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,"4.
                                                Haveanothertry16/1",,,,https://www.racingpost.com/profile/horse/8561246/haveanothertry,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,,,,,,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,,,,,,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,"5.
                                                Hi Ho Idaho33/1",,,,https://www.racingpost.com/profile/horse/7436536/hi-ho-idaho,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,"5.
                                                Hi Ho Idaho33/1",,,,https://www.racingpost.com/profile/horse/7436536/hi-ho-idaho,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,,,,,,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,,,,,,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,,,,,,Racing Post
2026-03-03,LEOPARDSTOWN                                                    (IRE),,,,,,https://www.racingpost.com/profile/horse/7303475/jet-to-monte-carlo,Racing Post
